timestamp,robot_id,x_m,y_m,speed_mps,nearest_worker_m,nearest_obstacle_m,zone_type,payload_kg,tilt_deg,emergency_stop
2026-06-18T09:00:00,cart-runner-02,13.3,24.3,1.26,3.94,2.08,open deck,22,3.7,False
2026-06-18T09:01:00,cart-runner-02,36.3,20.9,1.06,0.76,3.61,worker corridor,22,0.5,False
2026-06-18T09:02:00,cart-runner-02,28.4,5.6,1.63,0.85,3.72,material laydown,72,3.5,False
2026-06-18T09:03:00,quad-scan-01,9.2,17.4,1.72,1.82,0.66,restricted lift zone,72,2.9,False
2026-06-18T09:04:00,cart-runner-02,3.8,20.0,0.55,0.96,1.49,open deck,0,12.5,False
2026-06-18T09:05:00,cart-runner-02,18.1,5.2,1.67,1.27,2.7,worker corridor,22,4.2,False
2026-06-18T09:06:00,quad-scan-01,20.3,18.8,1.17,5.04,0.59,material laydown,0,11.9,False
2026-06-18T09:07:00,quad-scan-01,37.9,10.3,0.46,4.91,0.91,restricted lift zone,54,2.4,False
2026-06-18T09:08:00,quad-scan-01,0.4,14.8,1.32,4.86,1.34,open deck,0,12.1,False
2026-06-18T09:09:00,quad-scan-01,32.3,12.2,0.7,0.9,2.65,worker corridor,8,10.5,False
2026-06-18T09:10:00,quad-scan-01,0.5,8.8,0.7,4.14,2.68,material laydown,22,7.4,False
2026-06-18T09:11:00,cart-runner-02,31.4,13.4,1.34,1.34,3.46,restricted lift zone,0,5.2,True
2026-06-18T09:12:00,quad-scan-01,0.3,10.0,0.34,5.41,2.04,open deck,54,9.8,False
2026-06-18T09:13:00,cart-runner-02,26.3,1.6,1.63,0.36,2.96,worker corridor,0,6.1,False
2026-06-18T09:14:00,cart-runner-02,26.2,16.6,0.44,3.91,3.71,material laydown,22,4.8,False
2026-06-18T09:15:00,cart-runner-02,15.8,14.3,1.52,5.28,2.04,restricted lift zone,54,9.8,False
2026-06-18T09:16:00,quad-scan-01,20.0,13.7,1.4,4.62,3.11,open deck,22,1.0,False
2026-06-18T09:17:00,quad-scan-01,6.3,22.2,1.05,0.88,2.3,worker corridor,54,1.5,False
2026-06-18T09:18:00,cart-runner-02,30.7,11.8,0.51,3.39,0.59,material laydown,72,5.4,False
2026-06-18T09:19:00,cart-runner-02,27.5,10.3,1.05,3.27,2.77,restricted lift zone,0,9.7,False
2026-06-18T09:20:00,quad-scan-01,20.6,1.6,1.07,0.68,1.54,open deck,0,12.8,False
2026-06-18T09:21:00,cart-runner-02,14.2,23.2,0.91,0.49,0.92,worker corridor,54,11.3,False
2026-06-18T09:22:00,quad-scan-01,24.8,9.0,1.56,2.35,2.81,material laydown,8,12.9,False
2026-06-18T09:23:00,quad-scan-01,28.7,25.4,0.79,1.09,3.92,restricted lift zone,54,8.8,False
2026-06-18T09:24:00,quad-scan-01,17.5,4.0,1.02,3.14,3.34,open deck,8,12.2,False
2026-06-18T09:25:00,quad-scan-01,9.1,1.7,1.29,0.79,3.29,worker corridor,72,0.4,False
2026-06-18T09:26:00,quad-scan-01,15.3,6.1,1.1,4.0,0.43,material laydown,8,9.8,False
2026-06-18T09:27:00,cart-runner-02,21.9,20.1,1.36,1.16,3.98,restricted lift zone,22,3.1,True
2026-06-18T09:28:00,cart-runner-02,11.4,1.6,1.51,5.43,2.2,open deck,72,11.4,False
2026-06-18T09:29:00,cart-runner-02,35.8,17.5,1.57,0.87,1.85,worker corridor,72,4.1,False
2026-06-18T09:30:00,cart-runner-02,9.2,5.9,0.82,1.2,1.66,material laydown,8,10.5,False
2026-06-18T09:31:00,quad-scan-01,14.8,6.6,1.57,3.29,3.88,restricted lift zone,22,8.4,False
2026-06-18T09:32:00,quad-scan-01,2.0,9.8,1.58,4.73,0.6,open deck,72,7.8,False
2026-06-18T09:33:00,quad-scan-01,18.2,22.6,1.51,1.11,3.11,worker corridor,22,3.9,False
2026-06-18T09:34:00,quad-scan-01,28.4,19.6,1.56,1.52,0.96,material laydown,8,9.0,False
2026-06-18T09:35:00,cart-runner-02,29.5,9.9,1.26,2.45,1.15,restricted lift zone,72,8.4,False
