building_type,floor_area_m2,glazing_ratio,orientation,climate_zone,occupancy,insulation_score,hvac_type,operating_hours_per_week,energy_use_kwh_m2_year
school,42674,0.45,E,tropical,844,0.36,chilled-water,60,324.74
school,16492,0.21,S,hot-dry,2353,0.91,split,50,294.04
residential,44037,0.44,S,hot-dry,2281,0.37,vav,107,477.88
school,26948,0.72,S,hot-dry,1559,0.56,split,106,396.66
residential,4996,0.36,N,tropical,2298,0.41,split,68,323.75
office,22454,0.22,W,temperate,1004,0.44,vav,102,296.04
residential,31796,0.62,N,cold,809,0.32,heat-pump,95,324.46
office,4772,0.4,S,temperate,1419,0.81,vav,53,234.11
healthcare,30200,0.26,N,tropical,781,0.44,heat-pump,71,310.09
office,43538,0.72,W,temperate,90,0.93,heat-pump,70,239.81
retail,14808,0.65,E,hot-dry,270,0.37,chilled-water,40,278.78
retail,37222,0.54,N,temperate,2023,0.36,split,77,360.67
school,4546,0.21,S,temperate,1982,0.6,split,107,314.12
office,39796,0.22,N,temperate,993,0.53,split,112,351.64
retail,43881,0.5,E,temperate,2171,0.47,chilled-water,73,364.78
retail,21520,0.68,S,tropical,327,0.26,split,119,399.97
healthcare,18180,0.25,E,cold,1459,0.87,chilled-water,71,287.45
healthcare,43658,0.47,N,temperate,2301,0.46,chilled-water,53,370.52
office,37056,0.26,N,temperate,1184,0.67,chilled-water,83,285.34
office,42368,0.41,S,temperate,1163,0.28,chilled-water,82,339.5
retail,36954,0.56,S,temperate,2327,0.26,split,49,370.23
retail,9152,0.2,S,cold,1523,0.88,vav,45,203.1
office,23978,0.6,W,temperate,1694,0.93,vav,59,310.57
office,12554,0.58,S,temperate,1390,0.8,chilled-water,92,279.03
office,25870,0.65,S,cold,1957,0.41,chilled-water,98,403.72
office,44055,0.28,W,cold,1374,0.45,chilled-water,48,282.28
healthcare,22502,0.69,E,temperate,502,0.86,chilled-water,73,278.11
school,29399,0.51,N,temperate,2124,0.33,chilled-water,113,395.08
retail,910,0.46,E,cold,2235,0.73,heat-pump,65,297.08
healthcare,21372,0.54,E,cold,540,0.75,heat-pump,78,286.19
retail,20176,0.48,E,temperate,815,0.54,chilled-water,88,253.01
school,14574,0.41,S,temperate,1349,0.58,heat-pump,96,306.16
office,19398,0.46,N,cold,1402,0.32,vav,70,322.92
residential,31938,0.51,W,temperate,328,0.57,heat-pump,120,313.2
retail,16789,0.26,W,hot-dry,52,0.87,vav,53,233.22
office,37330,0.31,W,cold,527,0.57,heat-pump,99,365.37
healthcare,30023,0.66,N,cold,1974,0.57,heat-pump,71,342.42
school,16167,0.33,S,temperate,1339,0.88,vav,50,212.25
retail,10814,0.56,W,hot-dry,293,0.54,heat-pump,82,305.38
healthcare,2080,0.64,W,cold,2388,0.52,chilled-water,40,292.2
retail,36072,0.58,W,hot-dry,2266,0.81,vav,68,370.28
school,44635,0.55,W,temperate,1686,0.76,split,99,403.42
healthcare,37787,0.54,S,hot-dry,373,0.7,vav,57,317.11
retail,22220,0.36,W,cold,1582,0.44,split,93,360.59
office,36151,0.21,N,tropical,1463,0.41,split,48,335.08
healthcare,10786,0.31,E,temperate,1969,0.72,heat-pump,112,301.87
school,11796,0.51,W,cold,499,0.79,split,60,211.89
retail,13797,0.22,E,tropical,1024,0.32,split,78,285.64
healthcare,28874,0.54,E,tropical,312,0.6,heat-pump,83,307.88
retail,10826,0.42,W,hot-dry,2167,0.93,heat-pump,74,290.75
healthcare,18389,0.35,W,cold,1035,0.83,heat-pump,51,236.53
school,2680,0.45,E,cold,1361,0.38,chilled-water,67,291.0
school,39869,0.56,S,temperate,1161,0.64,split,106,371.69
retail,43129,0.56,W,cold,1865,0.81,vav,51,358.86
residential,20867,0.54,E,cold,1541,0.58,heat-pump,107,375.8
retail,18554,0.35,S,cold,974,0.33,split,64,296.57
residential,14980,0.58,E,cold,1162,0.76,split,107,348.48
residential,20609,0.19,S,tropical,2217,0.34,chilled-water,45,288.69
retail,7523,0.65,W,hot-dry,2381,0.45,chilled-water,101,380.97
